hispanic_pop_1,trump_approval,pid,pid_TEXT,gender
22,5,1,,1
33,5,1,,2
2,5,1,,1
10,5,1,,2
50,5,3,,2
37,5,3,,2
35,5,1,,2
30,5,1,,2
73,5,1,,2
33,5,3,,2
25,5,1,,2
14,5,1,,
49,4,1,,2
60,5,1,,2
25,5,1,,2
12,5,1,,2
64,4,3,,2
9,5,3,,2
24,5,1,,1
26,5,1,,2
10,5,1,,2
38,5,1,,2
47,5,4,Green,2
30,5,1,,2
25,5,1,,2
20,5,1,,1
0,5,1,,2
60,4,3,,2
20,4,1,,1
9,1,2,,1
55,5,1,,1
75,5,1,,2
31,5,1,,2
5,1,3,,1
60,5,4,Independent ,1
25,5,1,,2
28,3,3,,2
7,5,1,,2
30,5,1,,2
5,5,1,,2
61,3,3,,2
15,3,3,,1
5,3,3,,1
10,5,1,,2
25,3,1,,1
22,5,3,,2
60,4,1,,2
19,5,3,,1
35,5,3,,2
11,5,1,,2
25,5,1,,1
50,2,2,,2
50,3,3,,3
5,3,,,
15,4,1,,1
17,3,4,Green,2
50,5,3,,1
25,5,3,,1
37,3,4,independent (not American Independent),1
8,5,1,,2
20,5,4,Libertarian,1
15,4,3,,1
24,5,2,,2
59,4,1,,1
15,4,1,,1
85,,2,,2
16,5,3,,1
45,5,1,,2
32,5,1,,2
33,5,3,,1
8,5,1,,2
5,5,1,,2
10,5,1,,1
40,5,1,,1
6,5,1,,2
10,5,1,,2
35,3,3,,1
15,3,2,,2
23,5,1,,2
57,2,3,,2
